Senior Citizen,Partner,Dependents,Tenure Months,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,label,Gender_Male,Internet Service_Fiber optic,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
0,1,0,55,1,0,0,1,0,0,0,1,77.75,4458.15,1,0,1,0,0,0,1,0
0,0,0,64,1,0,1,1,1,1,1,1,110.5,7069.25,0,0,1,0,1,1,0,0
0,1,1,69,1,0,1,1,0,1,1,1,105.0,7297.75,0,1,1,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,70.15,70.15,1,0,1,0,0,0,0,1
0,1,0,59,0,0,1,0,1,1,1,1,75.95,4542.35,0,0,0,0,1,1,0,0
1,1,0,12,0,1,0,1,1,1,1,1,79.2,943.85,0,0,0,1,0,0,1,0
0,0,0,1,0,1,0,0,0,0,0,0,75.3,75.3,1,0,1,0,0,0,0,1
1,0,0,5,0,0,1,0,0,0,1,1,85.55,408.5,0,1,1,0,0,0,1,0
0,1,0,66,1,0,1,0,1,1,1,1,104.05,6890.0,1,1,1,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,70.6,70.6,1,1,1,0,0,0,0,1
0,0,0,67,1,1,1,1,0,1,0,1,102.95,6886.25,1,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,1,69.35,69.35,1,1,1,0,0,0,1,0
0,0,0,69,1,0,1,0,1,1,1,1,104.7,7220.35,1,1,1,1,0,0,0,0
1,1,0,10,1,0,0,0,0,0,1,0,85.55,851.75,1,1,1,0,0,0,1,0
1,1,0,47,0,0,0,0,0,0,0,0,70.55,3309.25,1,0,1,0,0,0,0,0
0,1,1,5,1,0,0,0,1,0,0,1,55.7,259.4,0,1,0,0,0,0,0,1
0,1,0,72,1,1,1,0,1,0,0,1,90.35,6563.4,0,0,1,0,1,0,0,0
0,1,0,8,0,1,0,0,0,0,0,1,75.0,658.1,0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,70.55,70.55,1,0,1,0,0,0,1,0
1,1,0,66,1,0,0,1,0,1,1,1,99.5,6822.15,1,1,1,0,0,1,0,0
1,0,0,4,1,0,0,1,0,0,1,1,88.85,372.45,1,0,1,0,0,0,1,0
0,1,0,21,1,0,0,0,0,0,1,1,86.5,1808.7,1,0,1,0,0,0,1,0
0,1,0,58,1,1,0,0,1,0,1,1,68.4,3972.25,0,0,0,1,0,0,1,0
0,1,0,9,1,0,0,0,0,1,0,1,85.35,754.65,1,0,1,0,0,0,0,0
0,0,0,43,1,0,1,0,0,0,0,1,77.85,3365.85,1,1,1,0,0,0,1,0
1,1,0,27,0,0,0,0,0,0,0,1,70.55,1943.9,0,1,1,0,0,0,1,0
0,1,1,72,1,1,1,1,1,0,1,0,107.45,7658.3,0,0,1,0,1,1,0,0
0,0,0,10,1,1,0,0,0,1,1,1,98.7,973.25,1,0,1,0,0,0,1,0
1,0,0,42,1,0,1,1,0,1,1,1,104.75,4323.45,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,1,85.0,85.0,1,0,1,0,0,0,1,0
0,1,0,69,1,1,0,0,0,1,1,0,99.15,6875.35,0,0,1,0,1,0,0,0
0,1,1,72,1,1,1,1,0,1,1,1,83.6,5959.3,0,0,0,0,1,1,0,0
0,1,0,15,0,0,0,1,0,1,0,1,84.3,1308.4,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,1,69.95,69.95,1,0,1,0,0,0,1,0
0,1,0,18,1,1,0,0,0,1,1,1,99.4,1742.95,1,1,1,0,0,0,1,0
0,0,0,12,0,0,0,1,0,1,1,0,95.5,1115.15,1,0,1,1,0,0,0,1
0,0,0,72,1,1,1,1,1,1,1,1,114.9,8496.7,0,0,1,0,1,0,1,0
1,0,1,18,1,0,0,0,0,1,1,1,95.45,1752.55,1,1,1,0,0,0,1,0
