label,Pclass,Age,Sex,SibSp,Parch,Embarked_Q,Embarked_S
0,3,22,0,0,0,0,1
0,3,45,1,0,1,0,0
0,3,42,0,0,1,0,1
0,3,40,0,1,1,1,0
0,3,20,1,1,0,0,1
1,3,16,0,0,0,0,1
0,2,19,0,0,0,0,1
0,3,19,0,0,0,0,1
0,3,65,0,0,0,1,0
0,3,2,0,4,1,1,0
1,1,42,0,1,0,0,1
1,3,16,1,0,0,1,0
1,3,4,1,0,2,0,1
0,3,41,1,0,2,0,1
0,1,51,0,0,1,0,0
1,1,51,0,0,0,0,1
1,1,33,1,1,0,0,1
0,3,8,0,4,1,1,0
0,2,35,0,0,0,0,1
1,1,48,1,0,0,0,1
0,3,17,0,0,0,0,1
1,2,22,1,1,2,0,0
1,3,22,1,0,0,0,1
0,2,52,0,0,0,0,1
1,2,24,1,1,0,0,1
1,2,24,1,0,2,0,1
0,2,23,0,0,0,0,1
1,1,31,0,1,0,0,1
1,1,39,1,1,1,0,1
0,3,28,0,0,0,0,1
0,3,20,0,0,0,0,1
1,1,40,0,0,0,0,0
0,3,24,0,0,0,0,1
1,2,19,1,0,0,0,1
1,1,45,0,0,0,0,1
0,1,40,0,0,0,0,0
1,1,48,0,1,0,0,0
1,1,28,0,0,0,0,1
0,3,45,1,0,0,0,1
1,3,27,0,0,0,0,1
0,3,19,0,0,0,0,1
1,3,1,1,0,2,0,0
1,1,22,1,0,2,0,0
0,3,18,0,0,0,0,1
1,2,25,1,0,1,0,1
0,1,45,0,0,0,0,1
0,3,50,0,0,0,0,1
1,3,3,0,4,2,0,1
0,3,30,1,0,0,0,1
0,3,22,0,0,0,0,1
1,1,40,1,1,1,0,0
0,3,22,0,0,0,0,1
1,1,16,1,0,0,0,1
0,2,19,0,1,1,0,1
0,2,39,0,0,0,0,1
1,3,32,0,0,0,0,1
1,3,44,0,0,0,0,1
0,3,21,0,0,0,0,1
0,1,30,0,0,0,0,0
0,3,28,1,1,1,0,1
1,2,36,1,1,0,0,1
0,3,28,0,0,0,0,1
1,1,37,0,1,1,0,1
0,3,39,0,0,0,0,1
0,3,15,0,1,1,0,0
0,2,48,0,0,0,0,1
0,3,28,0,0,0,0,1
1,2,29,1,0,0,0,1
1,1,22,1,0,0,0,1
1,3,1,0,1,2,0,1
1,2,24,1,0,0,0,1
0,2,43,0,1,1,0,1
1,3,31,1,0,0,0,1
1,1,50,0,2,0,0,1
1,1,33,1,1,0,1,0
0,2,24,0,0,0,0,1
1,1,45,1,1,1,0,1
0,3,24,0,0,0,0,1
0,2,16,0,0,0,0,1
0,3,49,0,0,0,0,1
0,3,20,0,0,0,0,1
1,3,23,1,0,0,0,1
1,3,6,0,0,1,0,1
1,2,42,1,0,0,0,1
1,3,9,0,1,1,0,1
1,1,22,1,1,0,0,1
0,3,43,0,0,0,0,1
1,1,23,1,1,0,0,0
0,2,30,0,0,0,0,1
0,3,16,0,4,1,0,1
0,3,4,0,4,1,1,0
1,3,22,0,0,0,0,0
0,3,25,0,0,0,0,1
1,2,36,1,0,0,0,1
1,2,34,1,0,0,0,1
1,1,25,0,1,0,0,0
1,2,0,0,0,2,0,1
0,3,59,0,0,0,0,1
1,1,60,0,1,1,0,0
0,1,19,0,1,0,0,1
0,3,26,0,0,0,0,1
0,3,34,0,0,0,0,1
1,3,24,1,1,0,0,1
0,2,25,0,0,0,0,1
1,1,38,1,0,0,0,0
1,1,31,1,0,2,0,1
1,3,18,1,0,1,0,1
0,3,55,0,0,0,0,1
0,2,28,0,0,0,0,1
1,1,52,1,1,0,0,0
1,1,0,0,1,2,0,1
0,3,24,0,0,0,0,1
1,2,27,1,1,0,0,0
1,1,26,0,0,0,0,0
0,3,21,1,1,0,0,1
0,3,9,1,1,1,0,0
0,3,45,0,0,0,0,0
0,3,2,0,3,1,0,1
1,2,28,1,1,0,0,0
0,3,44,0,0,1,0,1
0,3,40,0,0,0,0,1
1,1,33,1,0,0,0,1
0,3,45,1,1,4,0,1
0,3,38,0,0,0,0,1
0,2,27,1,1,0,0,1
0,3,28,0,1,0,0,1
0,3,26,1,1,0,0,1
0,1,58,0,0,0,0,0
1,1,35,1,0,0,0,0
0,1,38,0,0,0,0,1
0,3,44,0,0,0,0,1
0,2,16,0,0,0,0,1
1,2,3,0,1,1,0,1
1,2,14,1,1,0,0,0
1,1,58,1,0,0,0,1
1,2,17,1,0,0,0,1
1,3,19,0,0,0,0,1
0,3,14,0,4,1,0,1
1,3,63,1,0,0,0,1
1,3,32,0,0,0,0,1
0,2,47,0,0,0,0,1
1,3,26,1,0,0,0,1
1,3,17,1,4,2,0,1
1,2,24,1,2,3,0,1
0,1,54,0,0,1,0,1
1,3,15,1,1,0,0,0
1,1,35,1,1,0,0,1
0,3,26,0,0,0,0,1
0,3,31,0,0,0,1,0
0,3,4,0,3,2,0,1
1,1,35,1,1,0,0,1
1,1,18,1,0,2,0,1
0,3,42,0,0,0,0,1
1,1,24,1,0,0,0,0
1,1,49,0,1,0,0,0
1,1,52,1,1,1,0,1
1,3,14,1,1,0,0,0
1,1,49,1,0,0,0,1
1,2,18,1,0,1,0,1
0,1,45,0,0,0,0,1
0,3,4,0,4,2,0,1
0,2,46,0,0,0,0,1
0,3,22,0,0,0,0,0
1,1,63,1,1,0,0,1
1,2,22,1,1,1,0,1
1,3,15,1,0,0,0,0
1,1,41,1,0,0,0,0
1,2,31,1,1,1,0,1
0,3,26,0,0,0,0,1
0,2,36,0,0,0,0,1
1,3,0,1,2,1,0,0
1,2,17,1,0,0,0,0
0,3,47,1,1,0,0,1
1,2,35,1,0,0,0,1
1,2,30,1,0,0,0,1
1,1,58,1,0,0,0,0
0,2,23,0,0,0,0,1
1,3,16,1,0,0,1,0
0,3,18,1,2,0,0,1
0,2,23,0,0,0,0,1
1,3,24,1,0,3,0,0
1,3,3,0,1,1,0,1
1,3,1,1,1,1,0,1
0,1,19,0,3,2,0,1
1,1,56,0,0,0,0,0
0,3,30,0,0,0,0,1
0,3,27,0,1,0,0,0
1,1,24,1,0,0,0,0
1,3,35,1,1,1,0,1
1,2,1,0,2,1,0,1
0,3,19,0,0,0,0,1
1,3,18,0,0,0,0,1
0,1,52,0,1,1,0,1
0,3,33,0,0,0,0,0
0,3,25,0,0,0,1,0
0,3,40,0,0,2,0,1
0,3,31,1,0,0,0,1
0,3,41,0,0,0,0,1
1,3,45,0,0,0,0,1
1,1,39,1,1,1,0,0
1,2,32,0,1,0,0,1
0,3,17,1,0,0,0,0
1,1,36,0,0,0,0,1
1,3,22,1,0,0,1,0
1,1,58,1,0,1,0,1
1,3,24,0,0,0,0,1
1,2,2,0,1,1,0,1
1,3,30,1,0,0,0,1
0,3,16,0,2,0,0,1
0,2,39,0,0,0,0,1
1,3,33,1,3,0,0,1
0,3,51,0,0,0,0,1
1,1,22,1,0,1,0,1
0,2,28,0,0,1,0,1
0,3,41,1,0,5,0,1
1,3,21,1,0,0,0,1
0,3,20,0,0,0,0,1
1,2,41,1,0,1,0,1
0,1,61,0,0,0,0,1
0,2,37,0,1,0,0,1
0,3,42,0,0,0,0,1
0,3,19,0,0,0,0,1
0,3,19,0,0,0,1,0
1,1,42,0,0,0,0,1
0,2,18,0,0,0,0,1
1,1,30,1,0,0,0,0
1,3,27,0,0,0,0,1
0,3,23,0,0,0,0,0
1,2,28,1,0,0,0,1
0,3,30,1,0,0,1,0
1,2,1,0,0,2,0,0
0,3,22,0,0,0,0,1
0,3,33,0,0,0,0,1
1,1,40,1,0,0,0,1
0,3,14,1,0,0,0,1
1,3,39,0,0,0,0,1
1,1,36,0,1,2,0,1
1,2,40,1,0,0,0,1
1,1,47,1,1,1,0,1
1,1,35,1,1,0,0,1
0,3,24,1,0,0,0,1
1,2,48,1,1,2,0,1
0,3,24,0,0,0,0,1
0,2,27,0,0,0,0,1
1,3,4,1,0,1,0,0
0,3,3,1,3,1,0,1
1,2,45,1,0,0,0,1
1,3,18,1,0,0,0,1
1,1,17,0,0,2,0,0
0,1,25,1,1,2,0,1
0,3,18,0,0,0,0,1
1,3,24,1,0,2,0,1
1,1,27,0,0,0,0,0
0,3,25,0,0,0,0,1
1,3,22,1,0,0,0,1
0,2,25,0,0,0,0,1
0,3,21,0,0,0,0,1
1,2,4,1,1,1,0,1
1,1,36,1,0,2,0,1
0,2,34,0,1,0,0,1
0,3,40,1,1,0,0,1
1,2,45,1,1,1,0,1
1,1,25,0,1,0,0,0
1,1,34,0,0,0,0,1
0,3,21,0,0,0,0,1
0,3,51,0,0,0,0,1
1,2,55,1,0,0,0,1
1,3,29,0,0,0,0,0
1,2,34,1,0,1,0,1
0,1,47,0,0,0,0,1
0,2,27,0,0,0,0,1
1,2,40,1,0,0,0,1
0,3,44,0,0,0,0,1
1,2,19,0,0,0,0,1
0,3,23,0,0,0,0,1
0,2,24,0,2,0,0,1
1,1,52,0,0,0,0,1
1,1,48,0,0,0,0,1
1,3,19,1,0,0,1,0
0,1,31,0,1,0,0,1
1,2,50,1,0,1,0,1
0,3,48,0,0,0,0,1
1,3,5,1,4,2,0,1
0,3,7,0,4,1,1,0
1,3,25,0,1,0,0,1
0,3,8,1,3,1,0,1
0,1,50,1,0,0,0,0
1,2,34,1,1,1,0,1
1,3,18,1,0,0,0,1
0,3,29,1,0,4,0,1
1,3,31,1,1,1,0,1
1,1,35,0,0,0,0,0
0,2,25,0,1,0,0,1
0,3,33,0,0,0,0,0
1,2,0,0,1,1,0,1
1,2,30,1,3,0,0,1
0,3,26,0,0,0,0,1
1,2,28,1,0,0,0,1
1,1,11,0,1,2,0,1
0,1,22,0,0,0,0,0
1,1,17,1,1,0,0,1
0,1,65,0,0,0,0,1
0,3,22,0,0,0,0,1
1,1,30,1,0,0,0,1
0,3,18,0,1,0,0,1
0,3,24,0,1,0,0,1
0,3,20,0,0,0,0,1
1,2,23,1,0,0,0,0
0,3,30,0,0,0,0,0
1,2,42,0,0,0,0,1
1,1,21,1,2,2,0,0
1,2,34,1,0,0,0,1
1,2,24,1,1,2,0,1
0,3,19,0,0,0,0,1
0,3,9,1,2,2,0,1
1,1,35,0,0,0,0,1
1,3,20,0,1,1,0,0
0,2,44,0,1,0,0,1
1,2,19,1,1,0,0,1
0,3,16,0,0,0,0,1
1,1,49,1,1,0,0,0
0,3,26,0,2,0,0,1
0,3,41,0,2,0,0,1
1,2,29,1,1,0,0,1
0,3,19,0,0,0,0,1
0,1,60,0,0,0,0,1
0,3,17,0,0,0,0,1
1,2,29,1,1,0,0,1
0,3,16,0,1,3,0,1
0,3,24,0,0,0,0,1
1,2,33,1,0,2,0,1
1,2,8,0,1,1,0,1
1,1,27,0,1,0,0,1
1,2,28,1,0,0,0,1
0,3,39,0,1,5,0,1
0,2,18,0,0,0,0,1
1,2,25,1,1,1,0,1
0,2,30,0,0,0,0,1
1,1,36,0,0,1,0,0
0,3,23,0,0,0,0,1
0,3,2,1,3,2,0,1
0,3,37,1,0,0,0,1
1,2,31,0,0,0,0,1
1,3,30,0,0,0,0,1
0,3,25,0,0,0,0,1
1,1,38,1,1,0,0,0
0,3,2,1,0,1,0,1
1,3,27,0,0,0,0,1
1,3,0,1,2,1,0,0
1,3,15,1,0,0,1,0
0,3,21,0,0,0,0,1
1,2,7,1,0,2,0,1
1,1,24,1,3,2,0,1
0,2,28,0,0,0,0,1
1,3,26,1,0,0,0,1
0,2,36,0,0,0,0,1
0,3,19,0,0,0,0,1
0,3,22,0,0,0,0,1
0,2,57,0,0,0,1,0
1,3,0,0,0,1,0,0
1,1,32,0,0,0,0,0
0,1,24,0,0,0,0,0
0,3,34,0,1,1,0,1
0,2,21,0,0,0,0,1
0,3,32,0,1,0,0,1
0,1,37,0,1,0,0,1
1,1,18,1,2,2,0,0
1,2,50,1,0,0,0,1
0,3,18,1,0,0,1,0
0,3,28,0,0,0,0,1
0,3,34,0,0,0,0,0
1,1,50,1,0,1,0,0
0,3,34,0,0,0,0,1
1,2,34,0,0,0,0,1
1,1,30,1,0,0,0,0
1,1,48,0,1,0,0,1
1,1,35,1,1,0,0,1
0,3,16,0,0,0,0,1
0,3,28,0,0,0,0,1
0,2,54,0,0,0,0,1
1,1,27,0,0,0,0,1
0,3,22,0,0,0,0,1
0,3,30,0,0,0,0,1
0,3,28,0,0,0,0,0
0,3,25,1,0,0,0,1
0,2,57,1,0,0,0,1
0,2,42,0,1,0,0,1
1,1,24,1,0,0,0,0
0,3,40,0,0,0,1,0
0,2,19,0,0,0,0,1
1,1,54,1,1,0,0,0
0,3,28,0,0,0,0,1
0,3,14,0,5,2,0,1
0,3,20,0,0,0,0,1
1,3,4,0,1,1,0,1
0,3,22,0,0,0,0,1
1,3,4,1,1,1,0,1
1,3,19,1,1,0,0,1
0,1,29,0,0,0,0,1
1,2,40,1,1,1,0,1
1,1,23,0,0,1,0,0
1,2,6,1,0,1,0,1
1,2,50,1,0,0,0,1
