label,発生日時　　月,発生日時　　日,発生日時　　時,車道幅員,天候,地形,路面状態,道路形状,信号機
0,3,23,15,15,2,1,1,1,7
0,7,4,16,5,1,2,1,14,1
0,12,3,7,3,1,3,1,12,7
0,10,25,7,14,1,1,1,1,7
1,1,7,9,4,1,3,1,13,7
0,5,19,21,19,2,1,1,1,1
0,8,6,9,11,1,2,1,1,7
1,9,3,22,11,1,1,1,1,7
1,3,6,10,14,1,3,1,1,7
0,10,28,7,14,2,2,2,1,7
0,4,15,14,3,1,3,1,7,1
0,12,13,18,3,3,1,2,7,7
0,8,6,19,2,1,2,1,14,7
1,11,14,16,15,1,1,1,1,7
0,4,13,19,11,1,2,1,1,1
1,8,17,12,3,2,3,1,14,7
0,4,28,10,3,1,1,1,14,7
1,10,20,14,0,2,3,1,0,7
1,2,29,14,3,1,3,1,13,7
1,6,10,18,3,1,3,1,13,7
0,1,23,9,4,2,3,1,14,7
1,6,18,9,3,3,3,2,13,7
1,6,8,4,3,1,3,1,13,7
0,6,15,8,1,1,2,1,13,7
1,6,28,21,5,1,1,1,13,7
1,2,8,14,19,2,1,1,1,1
1,12,25,10,3,1,1,1,14,7
1,4,9,5,3,1,3,1,14,7
0,4,27,23,3,1,1,1,14,7
0,9,24,13,2,1,2,1,7,1
0,3,9,16,15,1,1,1,1,1
0,11,27,17,3,1,1,1,14,7
0,4,6,16,11,1,1,1,1,2
1,9,20,22,19,1,2,1,1,1
1,9,13,11,11,1,3,1,1,7
0,6,3,16,2,1,1,1,7,7
0,4,11,6,0,2,2,2,0,7
1,12,27,17,4,1,2,1,14,7
1,12,24,17,17,2,2,1,1,7
1,7,3,4,14,1,3,1,1,2
1,5,4,19,0,2,1,1,0,7
1,6,28,3,3,2,2,1,14,7
1,3,1,1,3,3,2,2,14,7
1,7,9,7,19,1,1,1,1,1
1,12,16,13,4,1,3,1,11,7
0,1,13,15,17,3,1,2,1,7
0,7,29,10,18,1,1,1,1,1
1,6,26,1,4,2,3,1,14,7
0,11,27,10,15,1,2,1,1,1
0,8,26,2,15,1,1,1,1,3
1,4,15,18,15,2,1,1,1,2
